UserID,productcode,review_rating
21390741,28353P1,5
22661580,9205P1,4
22923699,9358P3,5
22661580,7249P3,5
22762627,8623P3,5
23180120,2482SOH1,4
22856531,28662P1,5
21078357,3303P23,2
22780625,17184P2,3
22267294,3951WESTDLX,5
20206660,6636ISLANDT,5
20206660,3124CAI04,5
7274391,5304HAVANA,5
10714175,15142P6,1
11119867,6730P22,1
22661580,5022MOULIN,4
23149965,2142TYO_F050,4
8122330,2230M10,5
23102323,8962P3,5
8122330,2230M1,5
21483962,3858EE010,5
22638165,7441P8,5
5030839,5859LVMON,1
5030839,24308P8,5
5030839,24308P1,5
5030839,24308P13,4
5030839,35149P2,5
23160702,22673P1,5
15356789,3003SYDNEY,5
22870425,31924P1,3
22870425,30571P1,5
22870425,10784P1,5
20761435,2482SOH1,5
22081996,18181IV,1
15333574,7205P1,5
15333574,2970AH29,4
23017151,2550AMBIKE,2
22837480,6602PARHOHO,5
15333574,6356CHINA,3
11274756,9555P1,5
100019,5588P98,4
22523849,2666CASTLE,5
21679681,29819P2,5
23061936,6743LON,5
11396741,5999CZUE,5
9248037,2452P70,5
23015928,6373GBR3,5
22853686,3695NSC_SKIP,4
